Source,SKU,Brand,Name,Price,RAM,SSD,Processor,GPU,VRAM,Link,Brand_Encoded,Processor_Encoded
Bhinneka,3320984345,HP,"HP Business Elitebook 830 G5 (Core i5-8250U, 8GB, 256GB SSD, Win 10 Pro)",18214500.0,8.0,256.0,CORE I5-8250U,,,https://www.bhinneka.com/hp-business-elitebook-830-g5-core-i5-8250u-8gb-256gb-ssd-win-10-pro-3vj07pa-sku3320984345,9,73
Bhinneka,3321162825,MSI,"MSI Notebook GS65 8RE - Black/Gold (Core i7-8750H, 16GB, 256GB SSD, GTX 1060 6GB)",25328500.0,16.0,256.0,CORE I7-8750H,GTX 1060,,https://www.bhinneka.com/msi-notebook-gs65-8re-black-gold-core-i7-8750h-16gb-256gb-ssd-gtx-1060-6gb-9s7-16q211-220-sku3321162825,12,105
Bhinneka,3321949398,MSI,"MSI Notebook GE63 8RF (Core i7-8750H, 16GB, 256GB SSD, 1TB HDD, GTX1070 8GB) - Black",32290000.0,16.0,256.0,CORE I7-8750H,GTX1070,,https://www.bhinneka.com/msi-notebook-ge63-8rf-core-i7-8750h-16gb-256gb-ssd-1tb-hdd-gtx1070-8gb-black-9s7-16p512-461-sku3321949398,12,105
Bhinneka,3322154359,LENOVO,"LENOVO IdeaPad IP330-14IKBR (Core i7-8550U, 8GB, 1TB HDD, Win 10 Home)",11906500.0,8.0,1024.0,CORE I7-8550U,,,https://www.bhinneka.com/lenovo-ideapad-ip330-14ikbr-core-i7-8550u-8gb-1tb-hdd-win-10-home-81g20073id-platinum-grey-sku3322154359,11,104
Bhinneka,3322325370,HP,"HP Probook x360 440 G1 (Core i5-8250U, 8GB, 256GB SSD, Win 10 Pro)",16599000.0,8.0,256.0,CORE I5-8250U,,,https://www.bhinneka.com/hp-probook-x360-440-g1-core-i5-8250u-8gb-256gb-ssd-win-10-pro-5hs05pa-sku3322325370,9,73
Bhinneka,3322451179,LENOVO,"LENOVO IdeaPad IP330-15ICH (Core i5-8300H, 4GB, 1TB HDD, GTX 1050)",12556500.0,4.0,1024.0,CORE I5-8300H,GTX 1050,,https://www.bhinneka.com/lenovo-ideapad-ip330-15ich-core-i5-8300h-4gb-1tb-hdd-gtx-1050-81fk0036id-onyx-black-sku3322451179,11,75
Bhinneka,3322701148,HP,"HP EliteBook x360 1030 G3 (Core i7-8550U, 8GB, 512GB SSD, Win 10 Pro)",32793500.0,8.0,512.0,CORE I7-8550U,,,https://www.bhinneka.com/hp-elitebook-x360-1030-g3-core-i7-8550u-8gb-512gb-ssd-win-10-pro-5hm57pa-sku3322701148,9,104
Bhinneka,3322719966,MSI,"MSI P65 Creator 8RF (Core i7-8750H, 16GB, 512GB SSD, GTX 1070 8GB)",37336500.0,16.0,512.0,CORE I7-8750H,GTX 1070,,https://www.bhinneka.com/msi-p65-creator-8rf-core-i7-8750h-16gb-512gb-ssd-gtx-1070-8gb-9s7-16q213-472-sku3322719966,12,105
Bhinneka,3322721033,MSI,"MSI Notebook PS42 8RB (Core i5-8250U, 8GB, 256GB SSD, MX150 2GB)",13850000.0,8.0,256.0,CORE I5-8250U,,,https://www.bhinneka.com/msi-notebook-ps42-8rb-core-i5-8250u-8gb-256gb-ssd-mx150-2gb-9s7-14b121-436-sku3322721033,12,73
Bhinneka,3322986037,LENOVO,"LENOVO IdeaPad IP330S-14IKB (Core i5-8250U, 8GB, 1TB HDD, Win 10 Home)",12108500.0,8.0,1024.0,CORE I5-8250U,,,https://www.bhinneka.com/lenovo-ideapad-ip330s-14ikb-core-i5-8250u-8gb-1tb-hdd-win-10-home-81f4016kid-mid-night-blue-sku3322986037,11,73
Bhinneka,3323314382,MSI,"MSI Notebook GE75 8SF (Core i7-8750H, 32GB, 256GB SSD, 1TB HDD, RTX 2070 8GB)",39354000.0,32.0,256.0,CORE I7-8750H,RTX 2070,,https://www.bhinneka.com/msi-notebook-ge75-8sf-core-i7-8750h-32gb-256gb-ssd-1tb-hdd-rtx-2070-8gb-9s7-17e212-071-black-sku3323314382,12,105
Bhinneka,3323323015,MSI,"MSI GE63 Raider 8SG (Core i7-8750H, 16GB, 1TB HDD, 256GB SSD, RTX 2080)",43390000.0,16.0,256.0,CORE I7-8750H,RTX 2080,,https://www.bhinneka.com/msi-ge63-raider-8sg-core-i7-8750h-16gb-1tb-hdd-256gb-ssd-rtx-2080-9s7-16p722-075-black-sku3323323015,12,105
Bhinneka,3323917625,MSI,"MSI Notebook GE75 9SG (Core i7-9750H, 32GB, 1TB SSD, RTX 2080 8GB)",44399000.0,32.0,1024.0,CORE I7-9750H,RTX 2080,,https://www.bhinneka.com/msi-notebook-ge75-9sg-core-i7-9750h-32gb-1tb-ssd-rtx-2080-8gb-9s7-17e212-288-black-sku3323917625,12,106
